experiment,variant,eval_dir,relative_eval_dir,summary_path,timestamp,checkpoint,sta_clip_dir,sta_clip_style,sta_clip_content,sta_content_lpips,sta_classifier_acc,sta_fid_baseline,sta_fid,sta_delta_fid,sta_delta_fid_ratio,sta_art_fid_fid,sta_art_fid_content_lpips,sta_art_fid,sta_kid_baseline,sta_kid,sta_delta_kid,sta_delta_kid_ratio,p2a_valid,p2a_clip_dir,p2a_clip_style,p2a_clip_content,p2a_classifier_acc,p2a_fid_baseline,p2a_fid,p2a_delta_fid,p2a_delta_fid_ratio,p2a_art_fid_fid,p2a_art_fid_content_lpips,p2a_art_fid,p2a_kid_baseline,p2a_kid,p2a_delta_kid,p2a_delta_kid_ratio
cross_attn_v3_v3_0_attn_base,nested_full_eval,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_0_attn_base\full_eval\epoch_0040,full_eval\epoch_0040,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_0_attn_base\full_eval\epoch_0040\summary.json,2026-03-27 15:20:49,(reuse-only:no-checkpoint),0.3964127777641018,0.6593064234654109,0.8462313100833333,0.4222146919166668,0.13166666666666665,295.5244613647461,307.9042144775391,-12.379753112792969,-0.04342167511326579,221.54771259416475,0.3681949838995934,304.96088401819406,0.08995305616408586,0.11681871591135859,-0.02686565974727273,-0.39538197276577913,True,0.45063593561450643,0.6296421326696873,0.8174263034166667,0.20833333333333334,305.9299507141113,298.58509826660156,7.344852447509766,0.0254756678358467,237.50875355172596,0.41224171221256256,336.9123478789534,0.11369336117058992,0.11486975010484457,-0.0011763889342546463,-0.04087739843290791
cross_attn_v3_v3_0_attn_base,nested_full_eval,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_0_attn_base\full_eval\epoch_0080,full_eval\epoch_0080,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_0_attn_base\full_eval\epoch_0080\summary.json,2026-03-27 15:25:00,(reuse-only:no-checkpoint),0.4217309011643131,0.6638461261490981,0.8211144872833334,0.45276542193333336,0.11499999999999999,295.5244613647461,310.1408531188965,-14.61639175415039,-0.05188602867635543,225.39771384594056,0.4031196445226669,318.30943459142566,0.09010661449283361,0.12368901800364256,-0.03358240351080895,-0.48550674832856383,True,0.473312005524834,0.637697730710109,0.7968341929166666,0.175,305.9299507141113,297.9749946594238,7.9549560546875,0.02729856616283167,243.39497924055007,0.43815187364816666,351.7318052763056,0.11277185659855604,0.12055885791778564,-0.007787001319229603,-0.09412657744427738
cross_attn_v3_v3_0_attn_base,nested_full_eval,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_0_attn_base\full_eval\epoch_0120,full_eval\epoch_0120,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_0_attn_base\full_eval\epoch_0120\summary.json,2026-03-27 15:29:05,(reuse-only:no-checkpoint),0.4366221117104093,0.665784654567639,0.8037545610333334,0.4725944382500001,0.13999999999999999,295.5244613647461,312.12017288208006,-16.595711517333985,-0.05877152940925766,228.11230804631595,0.4276455298066139,327.71968826481435,0.09033853765577078,0.12432860620319844,-0.03399006854742766,-0.4942839022723339,True,0.4882592619707187,0.6431321273247401,0.7835100156666668,0.175,305.9299507141113,300.647029876709,5.282920837402344,0.019140734372372098,246.79585194605124,0.4545596316456795,360.87482470752974,0.11411185190081596,0.12449390534311533,-0.010382053442299366,-0.11473308956679691
cross_attn_v3_v3_1_arch_dict,nested_full_eval,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_1_arch_dict\full_eval\epoch_0040,full_eval\epoch_0040,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_1_arch_dict\full_eval\epoch_0040\summary.json,2026-03-27 15:33:03,(reuse-only:no-checkpoint),0.4042627535636226,0.6611656942466896,0.8393207815166666,0.43530315889999993,0.14500000000000002,295.5244613647461,310.6961135864258,-15.171652221679688,-0.05375603089787588,221.85108045433782,0.38146597146987915,308.2439580429544,0.09002151098102332,0.11920474078506231,-0.029183229804039,-0.43577401706599456,True,0.4599292766302824,0.6327939932545026,0.8095955355000001,0.19999999999999998,305.9299507141113,299.00916290283203,6.920787811279297,0.021881438882492745,236.8379927986827,0.4285915717482567,339.8784174511157,0.1135082496330142,0.11612659320235252,-0.0026183435693383217,-0.04465007021838266
cross_attn_v3_v3_1_arch_dict,nested_full_eval,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_1_arch_dict\full_eval\epoch_0080,full_eval\epoch_0080,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_1_arch_dict\full_eval\epoch_0080\summary.json,2026-03-27 15:37:05,(reuse-only:no-checkpoint),0.4454830680042504,0.6670342486103376,0.79722188,0.48267945873333346,0.11333333333333333,295.5244613647461,316.68852081298826,-21.164059448242188,-0.07443045015155028,229.07264851879268,0.4362484335899353,331.07096803786834,0.090382419526577,0.1320646207779646,-0.04168220125138759,-0.6003884185659958,True,0.48924716313680006,0.6444970175623894,0.7875100326666666,0.15833333333333333,305.9299507141113,306.04618072509766,-0.11623001098632812,0.0012378903212107387,247.03880327238187,0.4719477817416191,365.36160061898636,0.11369250807911158,0.12751221377402544,-0.013819705694913864,-0.1393668358560083
cross_attn_v3_v3_1_arch_dict,nested_full_eval,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_1_arch_dict\full_eval\epoch_0120,full_eval\epoch_0120,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_1_arch_dict\full_eval\epoch_0120\summary.json,2026-03-27 15:40:58,(reuse-only:no-checkpoint),0.4494114660720031,0.6664433804651101,0.7906960407333334,0.48937949990000007,0.13499999999999998,295.5244613647461,313.9414543151855,-18.416992950439454,-0.06536561275039898,232.42677124761136,0.44595959037542343,338.33993595035645,0.09027188085019588,0.13241102788597345,-0.04213914703577757,-0.6156410589659287,True,0.5018464028835297,0.6466141720612844,0.7709326685000001,0.15833333333333333,305.9299507141113,307.3839302062988,-1.4539794921875,-0.004268306769274123,255.09926179387887,0.48233114182949066,379.7338932668206,0.11327189300209284,0.13121761195361614,-0.017945718951523304,-0.19149145892417802
cross_attn_v3_v3_2_skip_naive,nested_full_eval,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_2_skip_naive\full_eval\epoch_0040,full_eval\epoch_0040,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_2_skip_naive\full_eval\epoch_0040\summary.json,2026-03-27 15:44:51,(reuse-only:no-checkpoint),0.3991831170581281,0.6584901619950929,0.8393306574166667,0.42653292900000006,0.13166666666666665,295.5244613647461,311.054012298584,-15.529550933837891,-0.054219034455598,222.12318566047333,0.370717104524374,306.2433476419495,0.09004045873880387,0.11754335854202509,-0.027502899803221226,-0.40646292940249396,True,0.45719436245659983,0.631852321823438,0.8125129984999999,0.19999999999999998,305.9299507141113,302.62353897094727,3.3064117431640625,0.011974763832474148,238.82493143480764,0.4120979681611061,338.7481960482726,0.11269209161400795,0.11540937516838312,-0.0027172835543751717,-0.0630185788034825
cross_attn_v3_v3_2_skip_naive,nested_full_eval,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_2_skip_naive\full_eval\epoch_0080,full_eval\epoch_0080,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_2_skip_naive\full_eval\epoch_0080\summary.json,2026-03-27 15:48:42,(reuse-only:no-checkpoint),0.43094691593199974,0.666007330516974,0.8146923321833333,0.46071201174999993,0.11833333333333333,295.5244613647461,312.00586929321287,-16.481407928466798,-0.05883639117346523,225.45326841423434,0.4152747422456741,320.9473527092163,0.09011109862476588,0.12401711363345384,-0.03390601500868797,-0.5002918793557581,True,0.47420890753467876,0.6368773015836875,0.7940249461666666,0.15,305.9299507141113,307.6006164550781,-1.6706657409667969,-0.004979225041310643,242.03521366046607,0.44635798782110214,351.82719066032314,0.1129754576832056,0.12115591205656528,-0.00818045437335968,-0.09865361797557429
cross_attn_v3_v3_2_skip_naive,nested_full_eval,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_2_skip_naive\full_eval\epoch_0120,full_eval\epoch_0120,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_2_skip_naive\full_eval\epoch_0120\summary.json,2026-03-27 15:52:57,(reuse-only:no-checkpoint),0.4324111727500955,0.6662664940456549,0.8096883557666666,0.4613264666000001,0.11333333333333333,295.5244613647461,311.5548942565918,-16.030432891845702,-0.05714399037886486,224.9899056349262,0.41798200756311416,321.0850985391632,0.09012577962130308,0.12463267482817172,-0.03450689520686865,-0.4995231388840411,True,0.47821813424428306,0.6364067430297533,0.7861295669999999,0.16666666666666666,305.9299507141113,308.750186920166,-2.8202362060546875,-0.008384646273665648,241.1295584382132,0.4531533569097519,352.0724897539088,0.11296374630182981,0.12495232466608286,-0.011988578364253044,-0.13897952165176186
cross_attn_v3_v3_3_no_residual,nested_full_eval,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_3_no_residual\full_eval\epoch_0040,full_eval\epoch_0040,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_3_no_residual\full_eval\epoch_0040\summary.json,2026-03-27 15:57:08,(reuse-only:no-checkpoint),0.3151684262168904,0.6336832680801551,0.8863293639333334,0.32602305661666664,0.016666666666666666,295.5244613647461,290.24696960449216,5.277491760253906,0.016755915198841752,220.51117412084494,0.3577032096683979,300.3310774486626,0.0902158809825778,0.09430095460265875,-0.004085073620080948,-0.07879335648043014,True,0.3160195864737034,0.5786690774063269,0.8858394955000001,0.03333333333333333,305.9299507141113,297.3579902648926,8.57196044921875,0.026648843335790567,226.47857364534008,0.3335496187210083,303.30140575938816,0.11316434480249882,0.10718676541000605,0.005977579392492771,0.0523443326784276
cross_attn_v3_v3_3_no_residual,nested_full_eval,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_3_no_residual\full_eval\epoch_0080,full_eval\epoch_0080,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_3_no_residual\full_eval\epoch_0080\summary.json,2026-03-27 16:01:20,(reuse-only:no-checkpoint),0.31677448445310197,0.6345068172117074,0.8860949809166666,0.32492169923333336,0.016666666666666666,295.5244613647461,289.2721031188965,6.252358245849609,0.02010213583364035,221.36574332402074,0.35461720675230024,300.8344455470917,0.09003310594707728,0.09320982396602631,-0.003176718018949032,-0.0689586149407582,True,0.31285339916745825,0.5778223750491936,0.8873261747500001,0.03333333333333333,305.9299507141113,296.36759185791016,9.562358856201172,0.030709673759761632,224.9051928646686,0.3317820504307747,300.814214837268,0.11308581102639437,0.10550775285810232,0.007578058168292046,0.05889601612128046
cross_attn_v3_v3_3_no_residual,nested_full_eval,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_3_no_residual\full_eval\epoch_0120,full_eval\epoch_0120,G:\GitHub\Latent_Style\Cycle-NCE\cross_attn\cross_attn_v3_v3_3_no_residual\full_eval\epoch_0120\summary.json,2026-03-27 16:05:29,(reuse-only:no-checkpoint),0.31976265554626787,0.6343887298802534,0.8830726130500001,0.32680017214999996,0.019999999999999997,295.5244613647461,289.23886489868164,6.285596466064453,0.020353360741093646,221.09878419808592,0.3613082006573677,301.93758609294827,0.09008900858461857,0.09366904217749834,-0.003580033592879772,-0.07377511877896543,True,0.31893795530001323,0.5787769777079423,0.8832855666666668,0.03333333333333333,305.9299507141113,296.05244064331055,9.877510070800781,0.031742077747278226,226.93840273842224,0.33798953145742416,304.9544512791167,0.11339939571917057,0.1059705363586545,0.007428859360516071,0.058845378276975835
